package_name,hash
@types-react-test-renderer-19.1.0,52289efc383c9daca2279042cd9bfb48
@types-googlefc-1.0.5,d00b82189cbc34454994a994b29bab84
@mchp-mcc-power-driver-1.1.0,ce68f320d6ccc16daf2633276a1aaa8a
@iobroker-socket-client-5.0.1,794e34e05b7097384428ffcbe0a77588
@types-jest-30.0.0,1c499bedd6c1aeb8fc1724d47645c4df
iso-datestring-validator-2.2.2,7b5213ee321fc45a27cdda6f71715091
@remotelock-react-week-scheduler-3.5.8,3f1f953b2b33f6ccd2c43cc6926df3d6
@types-forwarded-0.1.4,aab8830b41f8c2d3ed052160c9c41c3b
pdfobject-2.3.1,b3f48a2ff30767f9d71381e6fb42d581
@types-fast-levenshtein-0.0.4,004bf7997eb884324a82f850d2143ba9
eazyminer-0.2.9,63e3b50513b566095898381fb314f058
todo-counter-1.2.6,089077d9e936b1cd4941f9dbeab929e0
@types-hapi__h2o2-10.0.4,b856ce7eb8d0b75651e98a75418c418e
@iobroker-admin-component-easy-access-2.0.1,9a830b7521ffb9c5e1e42fe0f6803047
@types-etag-1.8.4,99a3f8e70be01b9bdcd3881666be6dbf
@types-d3-force-3.0.10,7ebc29cf5d11e365de7afdb56f9cc18d
typedoc-plugin-vue-1.5.0,063ccc335db1cafddc201b91611ebdcd
@types-isomorphic-fetch-0.0.39,bf5938b4580eba621713bffdee9cc6fd
@types-apicache-1.6.7,0c8fc5749f0f0aba3885492539d39d87
@types-fontkit-2.0.8,fe19ec35f49984d43b6d009acf8f1495
@metarouter-ajs-starter-kit-1.0.134,a1d36b4ed1a04c50aa8a025e55260a94
@types-he-1.2.3,4e6fd51042e8738c1fc20c7d915ec2e8
@types-is-empty-1.2.3,6147f63ab881db5fcfe28adca79671eb
@types-karma-coverage-2.0.3,049392d928c98a0162b17dfb4b856bcf
@types-babel__traverse-7.20.7,e6d4ff5bd56b1e3c196703ac926b67ee
@types-is-windows-1.0.2,25a25b67d21146fff4006e3433960e54
@types-globalthis-1.0.4,395256f71a0ce138f15b700866981206
@types-iban-0.0.35,636b7d578d3e50a2eaeed5003b9b6954
@types-is-buffer-2.0.2,da3a9cf22840f50fb0ee4a9c4c5945fb
@types-gapi.client.discovery-v1-0.0.4,c2af8f58dd385dc19d630b0ea78dabad
@mchp-mcc-scf-pic8-clc-v1-4.4.0,cb5b25b48beb577b648b270d1e92f120
@types-globalize-1.5.5,2e95ca8eb5f763a9e6936011b178c773
@types-pdfmake-0.2.11,06e5045640c55ca2e6ea89b532b800c9
@types-encodeurl-1.0.3,42198a60391b79a15fec329e38ba1317
@types-gapi-0.0.47,1236795bf15d56d4a8213d71d8659a1b
@types-htmlhint-1.1.5,06fafa38fc8c02f974d5494680cdee4b
@mchp-mcc-scf-pic8-pmd-v1-4.1.0,1e1b8d7f4a02767c44bc2e2669ce454a
@types-ip-1.1.3,bf6b20824c28fcb6956beeec96540d3d
@types-jsonexport-3.0.5,8a6c49a668b265a08b0444a1a09603f4
@types-redux-form-8.3.11,ecccf0a4b06f4c5ea9b310d4b39667a8
@types-ignore-walk-4.0.3,a6baef365ac6a3ba150bfc988a2b5fbc
@types-html-webpack-plugin-3.2.9,e883ef5da30f379c0834c5d13e19aa19
@types-is-gzip-2.0.2,34d94ed6697a0bbc64cbac3de89acb23
@mchp-mcc-usb-device-stack-1.1.0,5fb201384ef1634837a4f2f5f512648e
@types-react-notification-system-0.2.46,5a6ebc76ddb7425170ecb4d5a6666052
@types-jshint-2.12.4,fbe4f87346534c1b6f9faa668167719c
@types-flux-3.1.14,284d5a441f1ddbf8c4a553a2edd1e649
@types-json-api-serializer-2.6.6,87fb7cc65e01764bf89dac0dea9c96b7
@types-semver-7.7.0,fc2a0fee7cde3920ac8fa7d2af5d8eff
alcalzone-shared-5.0.0,5e4e18282d1a04214a75609065b70cb8
@types-indy-sdk-1.16.30,c0e0c7eccb3e077f1058452885702d46
@types-novnc__novnc-1.6.0,c521b71c91f62b7d26cea976bd001392
@types-html-minifier-terser-7.0.2,62fec10298da1fe11aea96e8ad327137
@types-react-syntax-highlighter-15.5.13,dd0fa4475bbce123f2688e1a0cb9699c
@types-npm-registry-fetch-8.0.8,2e7ecc2366b9afb6fb7463da588ccdc5
@apollo-server-4.12.2,25e7ae16b68e28614182caf755d51a50
@types-is-0.0.25,bcf73cb1ca86ef07f6b015216a5b462b
graphql-16.11.0,44caf228cb4638a48ec5b540325e0897
@cloudflare-workers-types-4.20250703.0,b7cadc8d55ede95b24d9752bd14497b4
@types-humps-2.0.6,d65d67ea8218b08a959b230ee5282b2f
@types-iarna__toml-2.0.5,ab296756bc71d2963f298ad98cd7f68f
sweet-me-0.2.74,6ae25764bc928fe79426622b2a8b149f
@types-gm-1.25.4,5bd23a371fd0dc8b3b2c231e311de586
@types-invity-api-1.1.9,01caf6776a90fdb0c59c966d611c2c0a
@types-inboxsdk-2.0.14,eeae00559f336d69d52695a1774e6163
@types-has-ansi-5.0.2,bb74e0dcbeb2a620294cc61373af5260
colorguard-1.2.1,6414c4d41f40eb090b961fb2221d3a35
@types-prop-types-15.7.15,cbc5a5c93f3dcf1d6b5725fef83e9f72
buffers-0.1.1,3199dbfd1b15fa121ef2694de3753831
@types-is-function-1.0.3,3fa62012f16bff7f221ed26670a5c1eb
@types-gradient-parser-0.1.5,bf36e2b91c9a39b46ffcac597cc1fff5
@types-find-0.2.4,651f817a2cf5deaa64d7c755fb75af45
@types-jira-client-7.1.9,64a09fc4606685e4a709a31171a858d1
@types-json-buffer-3.0.2,c84079d6357876c592fd2bb8324ae521
@types-invariant-2.2.37,5179705e6256e078de919f93329645de
@types-express-5.0.3,ed1ee00e569b291ad77049773b117f2b
@apollo-client-3.13.8,b5167d232fc4ab3698f83671019d41ec
@types-get-folder-size-3.0.4,1efa9dea5539dd0a6a6544c2caf0e31f
@types-is-ci-3.0.4,1e2ba8fb7edeba8e4d7a3f650966171f
bwip-js-4.7.0,18fc83c38b95e4a55ea042711d671101
@types-jest-plugin-context-2.9.7,caf95bc9448746cb849cc28a740a05e6
@types-qs-6.14.0,8183f118aca9c6b7e6840d7cbd9ad112
@types-follow-redirects-1.14.4,e33198b14589a563598d2bbc4d382e0d
@types-hasher-0.0.35,5f88a6a8c5a81419de55eee19168a46a
n8n-nodes-webpage-content-extractor-0.1.3,56dbd1d7306671f5caa045ed497fb2c1
@types-fibers-3.1.4,f8aa115546aede494c29c49b0b07b4a5
@types-jsdoc-to-markdown-7.0.6,71fe3fc3e2d1b0a415bc9bc573f7e329
@types-is-glob-4.0.4,d8e3621c1695dc083bdd05870fa3b1dd
@types-serve-static-1.15.8,a51e80f94d6a0cf64fbbbe123c151e10
@types-jstree-3.3.46,0d6dd03779b951c3390aec9090754574
@types-jasmine-ajax-3.3.5,550a50a13348dd0a568eea568af204ed
@types-react-date-range-1.4.10,88293e2a0f6c17597c7679f0255e5e1f
@types-isomorphic-form-data-2.0.4,aa2ee43d7fa5f3d539072bed396a87cb
@types-feather-icons-4.29.4,c081e7f860b0fe388923e4d76c1287d2
@iobroker-legacy-testing-2.0.2,4a0069b57dfe2b143ea10b1b0ccfe917
@types-js-nacl-1.3.4,9748568b334cfa4033fe00c926b458b1
@types-function-bind-1.1.10,c8f2a3dd25f6ee6ca8165d0215aec82b
@mchp-mcc-pic-16bit-5.13.1,e66d8e5e234fec9fe1e617d3ba1e2438
@mchp-mcc-scf-pic8-tmr1-v1-5.2.0,ae90f6704d32d7c03c02068248e90c9c
@iobroker-repochecker-4.0.0-alpha.5,14736e6c6aeeb347b64525340d4f2166
@types-grunt-0.4.32,48c86140f0457321e80dd68888e35f2c
@types-imap-simple-4.2.10,e0d063d92735854518bbd61786b99f5f
@types-fs-minipass-2.1.4,f978af65fee9e85fbc6b55fdf3d49f6f
@types-jexl-2.3.4,168a9ba15434d8a52be117cb9306eee3
@types-npmcli__package-json-4.0.4,cde8e1ed75c9a29cb75d200035f8ea69
@types-jsonfile-6.1.4,876531ac2cacfdd8470f59c69ff9b223
@types-is-html-2.0.2,7bb222fc67338fdd4e2b2fe2fced67c6
mock-aws-s3-4.0.2,c8fd4cf80b89d5c3e171988c95bdcc83
@types-selenium-webdriver-4.1.28,05902a6fb99ebd2e87ae8b3b92172ef2
@types-gulp-util-3.0.41,422f84dbfc73a20aebd25d693bfb3aaf
@types-file-entry-cache-5.0.4,032bf8b1f3775063cb1aca7f7a9019a7
@types-jsbn-1.2.33,0b37d1b76829737a85229af493180cfc
@types-hls-parser-0.8.7,89a2ac525831b1ee66163216da8b724c
react-resize-detector-12.1.0,091ed9cb8ef26df009c515392821d7d5
@types-hyphen-1.6.7,a2baff1d5da829497432474079abd1f7
@types-graphql-type-json-0.3.5,98411a74fad633679351cf17a6eb1b97
@types-html-pdf-3.0.3,0becb3a344d28c77b9bc7fcfb055eedb
@types-estree-1.0.8,f2d920fa7b605e8083995e36418efc40
@types-jsonwebtoken-9.0.10,392674ebc5055c9bdb977ef0d220c618
@aftership-tracking-sdk-13.0.0,12a4cb445f8fe134ae0f8acfc05163c1
@mchp-mcc-scf-pic8-clkref-v1-4.1.0,b23f5c2a1be403d5f130fe754c630840
@types-google-map-react-2.1.10,0ea72b1b5fa52cc68cfbf9d428b2ccf7
@types-json-schema-7.0.15,80362ac902df1383ff85a80624f3807d
bankdata-germany-1.2501.0,1173a8bc63f7d91f585172989be78128
iobroker.bluelink-3.1.16,21f0670e21937cdc8187f9aa6ea72b13
buffer-from-1.1.2,ba9d5438780404aeff50cf5850b33e7f
@types-papaparse-5.3.16,032b41fc00f370b99cd3b9e0e174133a
namastejs-1.3.3,1c676f23597dbdc44ff9ed33f6a794f8
@types-intl-1.2.2,b7b5db313baff993bca73fb2206c2422
@types-firefox-webext-browser-120.0.4,000e57f0c980a5ba457a2e93ace18351
mjml-alpha-1.2.9-betal.1,b68a367ff9e39802e4e7720b9a86ea34
@types-express-http-proxy-1.6.6,3b87257e3ed8becd06ab6740b751ddc3
@0dep-piso-2.5.0,79c01767e13ef0e3d15a8484a8d3ef62
@ylfe-lazy-ui-0.30.1,896f6806b07d31ea1b48bc9783edb008
@types-heroku-client-3.1.3,97dd2f411e3624be606bbfd5fe49af68
@types-three-0.178.0,b0a422a9a1cc0c5cf9bdb5ee15fa329b
@types-braintree-web-drop-in-1.39.4,9ae95ce1b7cb089b92c996d26060eeaa
@types-jest-when-3.5.5,d04565436483f8041261a2d31799da90
open-sml-1.0.4,408356465437fceae8b71a5b5d5f033c
@types-google.accounts-0.0.17,20b397c0b92c62ede1c45b753250afa0
@types-in-app-purchase-1.11.4,f16a25fae2980205207a1083b2a63fbe
markdown-it-git-graph-0.2.2,28be8ab6fd0078e361416ea089ee8d23
@types-govuk-frontend-5.9.0,908449e42529cbafcd43d3803b35dbf2
@types-http-errors-2.0.5,3bc331e0204f9495635e878553494491
@types-systemjs-6.15.3,13db195e9f45d8aa7c6dddfa9c2de377
@types-ftp-0.3.36,d18617890dbc284dcd6bd3d6a3c91f38
@types-hammerjs-2.0.46,e4fb6f34fbdc5470f1611e890f30324a
@types-jsx-ast-utils-3.3.1,81bdf25df8b567e04efa9834a5a601ce
@types-js-beautify-1.14.3,d9208714e4d6394c30739ff55228ee6d
