has_install_scripts,has_dependencies,has_dev_dependencies,num_dependencies,num_dev_dependencies,num_files,total_code_size,avg_entropy,max_entropy,num_urls,num_ips,has_eval,has_child_process,has_fs_access,has_network_access,has_os_access,package_name,label
0,0,0,0,0,1,1908,4.878944471070295,4.878944471070295,1,0,0,0,0,0,0,2025-03-04-cortex-net-node-v11.0.15,1
0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2024-12-13-web-prototyping-tool-v1.0.1,1
0,0,0,0,0,1,2438,5.3946572950158815,5.3946572950158815,2,2,0,0,0,0,0,2024-04-17-@mosfe_owl-config-v1.0.8,1
0,0,0,0,0,1,1594,4.828402232582606,4.828402232582606,1,0,0,0,0,0,0,2025-03-10-atlas-websocket-v8.8.8,1
0,0,0,0,0,1,73,4.510326491289225,4.510326491289225,0,0,0,0,0,0,0,2025-06-25-company-secret-lib-v1.0.0,1
0,0,0,0,0,1,28,3.8352377453121176,3.8352377453121176,0,0,0,0,0,0,0,2025-03-27-@sporta-technology_d11-web-components.tabs-v0.0.68,1
0,0,0,0,0,1,1028,4.9378112931700056,4.9378112931700056,0,0,0,0,0,0,0,2025-03-18-invoicetax-paypal-v19.0.2,1
0,0,0,0,0,6,13437,4.569312629599008,4.922728709171994,0,0,0,0,0,0,0,2024-11-30-@typescript_eslinter_eslint-v1.5.0,1
0,0,0,0,0,1,983,4.970388597088649,4.970388597088649,0,0,0,0,0,0,0,2025-01-25-pegin-address-verificator-v20.9.9,1
0,0,0,0,0,2,2083,5.2037140978964,5.85047545798122,0,0,1,0,0,0,0,2025-05-24-yux-utils-v1.0.0,1
0,0,0,0,0,2,1207,4.631536853786487,4.794921659535204,0,0,0,0,0,0,0,2025-01-25-react-scripts-win-v1.1.1,1
0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2025-06-03-minimal-ts-webpack-v11.0.1,1
0,0,0,0,0,3,4344,5.003718770907851,5.052668409052051,1,0,0,0,0,0,0,2025-05-22-eslint-format-v1.1.2,1
0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2024-09-23-bc-carousel-v996.9.9,1
0,0,0,0,0,1,2936,4.85941244896143,4.85941244896143,2,0,0,0,0,0,0,2024-11-15-quality-cli-v6.5.8,1
0,0,0,0,0,1,1555,4.96211837770878,4.96211837770878,0,1,0,0,0,0,0,2025-05-27-blocks-nextjs-v9999.9999.10381,1
0,0,0,0,0,3,5225,4.889213596923676,4.961072438610981,6,4,0,0,0,0,0,2025-02-16-findomestic-ui-style-v1.1.9,1
0,0,0,0,0,1,2936,4.85941244896143,4.85941244896143,2,0,0,0,0,0,0,2024-11-16-seller-rn-mng-lib-v6.5.8,1
0,0,0,0,0,2,6948,4.818961059803719,4.819449366202664,6,4,0,0,0,0,0,2025-03-04-nyc-config-v0.0.1,1
0,0,0,0,0,1,1343,5.34035524248068,5.34035524248068,2,0,0,0,0,0,0,2025-04-17-pocketnet-v1.9.9,1
0,0,0,0,0,3,4791,4.87574401280097,4.961072438610981,6,4,0,0,0,0,0,2025-02-15-pp-react-content-loader-v2.2.6,1
0,0,0,0,0,1,1555,4.96211837770878,4.96211837770878,0,1,0,0,0,0,0,2025-05-28-blocks-nextjs-v9999.9999.10401,1
0,0,0,0,0,2,682,4.722696609249892,4.975527088290456,0,0,0,0,0,0,0,2025-05-17-novacredit-global-v1.3.6,1
0,0,0,0,0,2,1635,4.816821285013367,5.002865337739311,1,1,0,0,0,0,0,2025-03-06-@idme-components_component-utilities-v1.1.0,1
0,0,0,0,0,1,1555,4.96211837770878,4.96211837770878,0,1,0,0,0,0,0,2025-05-27-blocks-nextjs-v9999.9999.10135,1
0,0,0,0,0,1,367,5.1039061364985905,5.1039061364985905,0,0,0,0,0,0,0,2024-08-05-lit-3-v3.2.1,1
0,0,0,0,0,1,2587,4.675942586305467,4.675942586305467,2,0,0,0,0,0,0,2025-04-23-cxo-storyboard-v10.0.3,1
0,0,0,0,0,2,6948,4.818961059803719,4.819449366202664,6,4,0,0,0,0,0,2025-03-10-tfjs-core-v0.9.0,1
0,0,0,0,0,1,3471,4.821377857761994,4.821377857761994,3,2,0,0,0,0,0,2025-04-30-feed-testing-utils-v1.2.0,1
0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2024-11-09-pentest-helper-v3.0.0,1
0,0,0,0,0,1,1028,4.9378112931700056,4.9378112931700056,0,0,0,0,0,0,0,2025-03-18-invoicetemplate-paypal-v19.0.2,1
0,0,0,0,0,1,1042,5.058253079692113,5.058253079692113,0,0,0,0,0,0,0,2025-01-08-digitalexp-lowcode-runner-app-v10.0.0,1
0,0,0,0,0,1,1578,4.9115346923347785,4.9115346923347785,0,1,0,0,0,0,0,2025-03-08-malwaretest-v0.0.7,1
0,0,0,0,0,1,1159,4.796558540393626,4.796558540393626,1,1,0,0,0,0,0,2025-01-30-@telepo_web-attendant-v4.5.0,1
